sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-03-06;"1,078.14";"1,049.28";"1,057.55";;1;
2026-03-05;"1,086.92";"1,068.34";"1,068.41";;1;
2026-03-04;"1,084.29";"1,065.56";"1,079.61";;1;
2026-03-03;"1,077.87";"1,055.92";"1,065.46";;1;
2026-03-02;"1,100.34";"1,090.69";"1,094.66";;1;
2026-02-27;"1,117.32";"1,110.38";"1,115.91";;1;
2026-02-26;"1,114.84";"1,106.39";"1,110.60";;1;
2026-02-25;"1,110.44";"1,104.55";"1,104.62";;1;
2026-02-24;"1,107.15";"1,094.94";"1,102.91";;1;
2026-02-23;"1,102.58";"1,093.41";"1,094.53";;1;
2026-02-20;"1,104.66";"1,094.42";"1,102.78";;1;
2026-02-19;"1,096.82";"1,091.82";"1,094.22";;1;
2026-02-18;"1,096.82";"1,088.69";"1,095.12";;1;
2026-02-17;"1,086.11";"1,074.67";"1,085.95";;1;
2026-02-16;"1,088.03";"1,082.95";"1,082.95";;1;
2026-02-13;"1,086.15";"1,077.93";"1,084.86";;1;
2026-02-12;"1,101.24";"1,085.93";"1,085.93";;1;
2026-02-11;"1,105.01";"1,092.49";"1,096.79";;1;
2026-02-10;"1,104.16";"1,099.55";"1,100.13";;1;
2026-02-09;"1,100.46";"1,090.13";"1,098.22";;1;
2026-02-06;"1,094.18";"1,075.97";"1,092.96";;1;
2026-02-05;"1,092.69";"1,076.32";"1,081.99";;1;
2026-02-04;"1,098.83";"1,082.01";"1,093.05";;1;
2026-02-03;"1,089.45";"1,075.94";"1,082.62";;1;
2026-02-02;"1,083.00";"1,056.68";"1,080.35";;1;
2026-01-30;"1,073.81";"1,067.76";"1,068.47";;1;
2026-01-29;"1,082.75";"1,070.43";"1,071.30";;1;
2026-01-28;"1,082.44";"1,072.97";"1,074.71";;1;
2026-01-27;"1,078.72";"1,074.12";"1,078.45";;1;
2026-01-26;"1,077.07";"1,067.77";"1,074.52";;1;
2026-01-23;"1,073.84";"1,069.02";"1,073.82";;1;
2026-01-22;"1,079.54";"1,071.56";"1,071.60";;1;
2026-01-21;"1,063.55";"1,049.17";"1,063.24";;1;
2026-01-20;"1,061.45";"1,050.63";"1,060.99";;1;
2026-01-19;"1,071.95";"1,062.48";"1,064.62";;1;
2026-01-16;"1,087.69";"1,082.67";"1,087.42";;1;
2026-01-15;"1,088.02";"1,077.73";"1,087.67";;1;
2026-01-14;"1,075.85";"1,065.82";"1,069.81";;1;
2026-01-13;"1,073.93";"1,065.26";"1,071.31";;1;
2026-01-12;"1,075.91";"1,069.44";"1,072.09";;1;
2026-01-09;"1,072.31";"1,061.28";"1,072.31";;1;
2026-01-08;"1,067.86";"1,058.17";"1,059.86";;1;
2026-01-07;"1,069.68";"1,056.55";"1,069.68";;1;
2026-01-05;"1,049.75";"1,041.87";"1,046.19";;1;
2026-01-02;"1,050.37";"1,039.41";"1,041.83";;1;
2025-12-30;"1,048.41";"1,038.23";"1,045.68";;1;
2025-12-29;"1,041.38";"1,033.62";"1,040.24";;1;
2025-12-23;"1,036.08";"1,031.60";"1,033.30";;1;
2025-12-22;"1,031.67";"1,024.96";"1,031.67";;1;
2025-12-19;"1,029.98";"1,025.33";"1,029.09";;1;
2025-12-18;"1,026.39";"1,013.81";"1,026.30";;1;
2025-12-17;"1,023.08";"1,014.09";"1,015.21";;1;
2025-12-16;"1,026.10";"1,020.06";"1,021.26";;1;
2025-12-15;"1,031.84";"1,026.02";"1,027.66";;1;
2025-12-12;"1,036.34";"1,025.52";"1,026.02";;1;
2025-12-11;"1,029.30";"1,018.58";"1,026.77";;1;
2025-12-10;"1,021.16";"1,016.02";"1,021.11";;1;
2025-12-09;"1,030.31";"1,019.58";"1,020.74";;1;
2025-12-08;"1,031.65";"1,025.52";"1,027.28";;1;
2025-12-05;"1,034.13";"1,028.26";"1,030.50";;1;
2025-12-04;"1,028.67";"1,018.61";"1,027.28";;1;
2025-12-03;"1,020.05";"1,011.13";"1,013.34";;1;
2025-12-02;"1,020.60";"1,015.29";"1,016.39";;1;
2025-12-01;"1,021.71";"1,012.59";"1,019.44";;1;
2025-11-28;"1,024.80";"1,020.03";"1,022.63";;1;
2025-11-27;"1,025.72";"1,019.56";"1,023.34";;1;
2025-11-26;"1,019.98";"1,012.63";"1,018.46";;1;
2025-11-25;"1,013.13";999.27;"1,011.30";;1;
2025-11-24;"1,002.90";995.89;"1,000.35";;1;
2025-11-21;991.52;976.01;989.84;;1;
2025-11-20;999.74;990.95;990.95;;1;
2025-11-19;993.42;982.04;987.96;;1;
2025-11-18;994.18;980.84;983.86;;1;
2025-11-17;"1,015.95";"1,005.48";"1,005.54";;1;
2025-11-14;"1,015.35";"1,003.00";"1,013.50";;1;
2025-11-13;"1,036.69";"1,022.09";"1,022.09";;1;
2025-11-12;"1,034.43";"1,025.78";"1,031.49";;1;
2025-11-11;"1,025.85";"1,015.32";"1,025.46";;1;
2025-11-10;"1,017.20";"1,013.66";"1,013.91";;1;
