sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-03-06;"4,457.10";"4,317.53";"4,354.79";;1;
2026-03-05;"4,512.02";"4,412.94";"4,414.75";;1;
2026-03-04;"4,513.22";"4,439.62";"4,485.72";;1;
2026-03-03;"4,512.42";"4,403.41";"4,449.97";;1;
2026-03-02;"4,624.27";"4,570.53";"4,588.20";;1;
2026-02-27;"4,681.76";"4,646.78";"4,673.56";;1;
2026-02-26;"4,677.28";"4,630.09";"4,643.50";;1;
2026-02-25;"4,679.02";"4,627.94";"4,631.20";;1;
2026-02-24;"4,664.31";"4,609.94";"4,650.59";;1;
2026-02-23;"4,621.67";"4,586.21";"4,601.58";;1;
2026-02-20;"4,637.72";"4,596.42";"4,625.47";;1;
2026-02-19;"4,602.02";"4,563.86";"4,598.00";;1;
2026-02-18;"4,589.55";"4,548.19";"4,583.64";;1;
2026-02-17;"4,540.65";"4,480.46";"4,537.90";;1;
2026-02-16;"4,561.23";"4,534.81";"4,539.84";;1;
2026-02-13;"4,559.57";"4,515.12";"4,558.33";;1;
2026-02-12;"4,640.71";"4,551.50";"4,551.76";;1;
2026-02-11;"4,663.84";"4,585.40";"4,615.76";;1;
2026-02-10;"4,634.41";"4,599.84";"4,603.32";;1;
2026-02-09;"4,615.50";"4,572.11";"4,614.68";;1;
2026-02-06;"4,594.66";"4,515.00";"4,588.42";;1;
2026-02-05;"4,590.33";"4,511.42";"4,539.55";;1;
2026-02-04;"4,617.21";"4,530.37";"4,572.72";;1;
2026-02-03;"4,535.05";"4,464.79";"4,522.16";;1;
2026-02-02;"4,491.47";"4,368.17";"4,481.86";;1;
2026-01-30;"4,452.59";"4,422.28";"4,434.73";;1;
2026-01-29;"4,499.19";"4,432.77";"4,444.16";;1;
2026-01-28;"4,480.98";"4,420.89";"4,420.89";;1;
2026-01-27;"4,450.18";"4,414.45";"4,442.57";;1;
2026-01-26;"4,438.20";"4,386.37";"4,429.18";;1;
2026-01-23;"4,418.23";"4,387.33";"4,418.23";;1;
2026-01-22;"4,451.05";"4,407.98";"4,407.98";;1;
2026-01-21;"4,400.19";"4,338.59";"4,398.39";;1;
2026-01-20;"4,378.14";"4,315.47";"4,378.14";;1;
