sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2026-06-05;"4,266.56";"4,223.11";"4,231.79";;1;
2026-06-04;"4,240.62";"4,196.78";"4,232.04";;1;
2026-06-03;"4,235.86";"4,197.23";"4,203.94";;1;
2026-06-02;"4,303.80";"4,236.38";"4,262.56";;1;
2026-06-01;"4,281.98";"4,227.63";"4,242.81";;1;
2026-05-29;"4,289.83";"4,259.95";"4,288.55";;1;
2026-05-28;"4,280.10";"4,239.42";"4,257.44";;1;
2026-05-27;"4,338.07";"4,295.02";"4,306.66";;1;
2026-05-26;"4,341.91";"4,303.33";"4,307.18";;1;
2026-05-25;"4,363.93";"4,320.35";"4,354.30";;1;
2026-05-22;"4,292.65";"4,251.86";"4,286.67";;1;
2026-05-21;"4,246.21";"4,204.09";"4,242.63";;1;
2026-05-20;"4,230.19";"4,122.11";"4,203.53";;1;
2026-05-19;"4,171.80";"4,139.93";"4,143.16";;1;
2026-05-18;"4,147.00";"4,059.84";"4,122.22";;1;
2026-05-15;"4,125.10";"4,076.44";"4,093.96";;1;
2026-05-13;"4,127.54";"4,077.29";"4,084.80";;1;
2026-05-12;"4,125.57";"4,090.89";"4,096.39";;1;
2026-05-11;"4,158.02";"4,113.19";"4,141.84";;1;
2026-05-08;"4,142.08";"4,110.41";"4,137.65";;1;
2026-05-07;"4,242.76";"4,176.51";"4,176.63";;1;
2026-05-06;"4,262.41";"4,178.32";"4,220.83";;1;
2026-05-05;"4,156.40";"4,104.33";"4,142.62";;1;
2026-05-04;"4,167.45";"4,094.73";"4,094.73";;1;
2026-04-30;"4,137.09";"4,072.04";"4,128.97";;1;
2026-04-29;"4,157.99";"4,115.02";"4,121.96";;1;
2026-04-28;"4,179.51";"4,130.42";"4,159.09";;1;
2026-04-27;"4,186.34";"4,149.17";"4,152.90";;1;
2026-04-24;"4,207.18";"4,146.15";"4,162.26";;1;
2026-04-23;"4,258.86";"4,217.87";"4,217.87";;1;
2026-04-22;"4,301.11";"4,268.69";"4,269.01";;1;
